CHEMICAL_NAME,SUPER_PATHWAY,KEGG
TAG58:7-FA18:0,Complex lipids,C00422
TAG58:7-FA22:5,Complex lipids,C00422
TAG58:7-FA22:6,Complex lipids,C00422
TAG58:8-FA22:6,Complex lipids,C00422
TAG58:9-FA22:5,Complex lipids,C00422
TAG60:11-FA22:6,Complex lipids,C00422
TAG38:0-FA12:0,Complex lipids,C00422
TAG42:0-FA12:0,Complex lipids,C00422
TAG44:0-FA18:0,Complex lipids,C00422
TAG44:2-FA12:0,Complex lipids,C00422
TAG45:1-FA15:0,Complex lipids,C00422
TAG45:1-FA18:1,Complex lipids,C00422
TAG46:0-FA12:0,Complex lipids,C00422
TAG46:0-FA18:0,Complex lipids,C00422
TAG46:1-FA16:1,Complex lipids,C00422
TAG47:2-FA14:0,Complex lipids,C00422
TAG48:1-FA12:0,Complex lipids,C00422
TAG48:1-FA16:1,Complex lipids,C00422
TAG48:3-FA18:3,Complex lipids,C00422
TAG49:1-FA16:1,Complex lipids,C00422
TAG49:2-FA16:1,Complex lipids,C00422
TAG49:3-FA15:0,Complex lipids,C00422
TAG50:1-FA20:1,Complex lipids,C00422
TAG50:2-FA14:0,Complex lipids,C00422
TAG50:2-FA18:1,Complex lipids,C00422
TAG48:3-FA14:0,Complex lipids,C00422
TAG50:4-FA18:3,Complex lipids,C00422
TAG50:5-FA18:1,Complex lipids,C00422
TAG51:0-FA18:0,Complex lipids,C00422
TAG51:2-FA18:1,Complex lipids,C00422
TAG51:4-FA15:0,Complex lipids,C00422
TAG51:4-FA18:2,Complex lipids,C00422
TAG52:1-FA18:1,Complex lipids,C00422
TAG52:1-FA20:1,Complex lipids,C00422
TAG52:2-FA16:1,Complex lipids,C00422
TAG52:3-FA20:0,Complex lipids,C00422
TAG52:3-FA20:1,Complex lipids,C00422
TAG52:4-FA20:4,Complex lipids,C00422
TAG52:7-FA16:0,Complex lipids,C00422
TAG53:4-FA18:0,Complex lipids,C00422
TAG53:6-FA18:3,Complex lipids,C00422
TAG53:6-FA20:4,Complex lipids,C00422
TAG54:1-FA18:1,Complex lipids,C00422
TAG54:3-FA16:0,Complex lipids,C00422
TAG54:4-FA16:1,Complex lipids,C00422
TAG54:4-FA22:4,Complex lipids,C00422
TAG54:6-FA16:0,Complex lipids,C00422
TAG54:7-FA18:1,Complex lipids,C00422
TAG54:7-FA20:4,Complex lipids,C00422
TAG55:3-FA18:2,Complex lipids,C00422
TAG55:7-FA20:3,Complex lipids,C00422
TAG56:2-FA18:1,Complex lipids,C00422
TAG56:3-FA20:1,Complex lipids,C00422
TAG56:3-FA20:2,Complex lipids,C00422
TAG56:4-FA20:2,Complex lipids,C00422
TAG56:5-FA22:5,Complex lipids,C00422
